model,accuracy,precision,recall,f1,roc_auc,average_precision
Logistic regression,0.852,0.6234817813765182,0.43137254901960786,0.5099337748344371,0.8544798321032613,0.6182812552143006
Random forest,0.8275,0.514018691588785,0.6162464985994398,0.5605095541401274,0.8434543628772264,0.5769221412678073
